Договор,Дата_документа,Документ,Описание_работ,Тип_работ,Месторождение,Скважина,Сумма,НДС
Договор 110,2020-08-20,Акт об оказании производственных услуг ДРЛ00000451 от 20.08.2020 23:00:00,"Выполнение работ по договору №ДРЛ_1 110_19 (ВР-188-10203/19-24) от 19.12.2019 Мобилизация м/р Ново-Покурское куст 78 скважина 1326, шт",Мобилизация,Ново-Покурское,1326,35669772.46,5944962.08
Договор 110,2020-11-13,Акт об оказании производственных услуг ДРЛ00000615 от 13.11.2020 23:00:00,"Выполнение работ по договору №ДРЛ_1 110_19 (ВР-188-10203/19-24) от 19.12.2019 Бурение м/р Ново-Покурское куст 78 скважина 1326, шт",Бурение,Ново-Покурское,1326,35676994.26,5946165.71
Договор 110,2020-11-13,Акт об оказании производственных услуг ДРЛ00000615 от 13.11.2020 23:00:00,"Выполнение работ по договору №ДРЛ_1 110_19 (ВР-188-10203/19-24) от 19.12.2019 Демонтаж м/р Ново-Покурское куст 78 скважина 1326, шт",Демонтаж,Ново-Покурское,1326,2812412.63,468735.44
Договор 110,2020-11-13,Акт об оказании производственных услуг ДРЛ00000615 от 13.11.2020 23:00:00,"Выполнение работ по договору №ДРЛ_1 110_19 (ВР-188-10203/19-24) от 19.12.2019 Монтаж м/р Ново-Покурское куст 78 скважина 1326, шт",Монтаж,Ново-Покурское,1326,4567218.89,761203.15
Договор 110,2020-11-13,Акт об оказании производственных услуг ДРЛ00000618 от 13.11.2020 23:00:00,"Выполнение работ по договору №ДРЛ_1 110_19 (ВР-188-10203/19-24) от 19.12.2019 Бурение м/р Ново-Покурское куст 73 скважина 802, шт",Бурение,Ново-Покурское,802,35688408.14,5948068.02
Договор 110,2020-11-13,Акт об оказании производственных услуг ДРЛ00000618 от 13.11.2020 23:00:00,"Выполнение работ по договору №ДРЛ_1 110_19 (ВР-188-10203/19-24) от 19.12.2019 Демонтаж м/р Ново-Покурское куст 73 скважина 802, шт",Демонтаж,Ново-Покурское,802,2812412.63,468735.44
Договор 110,2020-11-13,Акт об оказании производственных услуг ДРЛ00000618 от 13.11.2020 23:00:00,"Выполнение работ по договору №ДРЛ_1 110_19 (ВР-188-10203/19-24) от 19.12.2019 Монтаж м/р Ново-Покурское куст 73 скважина 802, шт",Монтаж,Ново-Покурское,802,4567218.89,761203.15
Договор 110,2020-11-13,Акт об оказании производственных услуг ДРЛ00000618 от 13.11.2020 23:00:00,"Выполнение работ по договору №ДРЛ_1 110_19 (ВР-188-10203/19-24) от 19.12.2019 Переезд м/р Ново-Покурское куст 73 скважина 802, шт",Переезд,Ново-Покурское,802,2623247.45,437207.91
Договор 110,2020-12-04,Акт об оказании производственных услуг ДРЛ00000719 от 04.12.2020 23:00:00,"Выполнение работ по договору №ДРЛ_1 110_19 (ВР-188-10203/19-24) от 19.12.2019 Бурение м/р Ново-Покурское куст 78 скважина 709, шт",Бурение,Ново-Покурское,709,37566499.97,6261083.32
Договор 110,2020-12-04,Акт об оказании производственных услуг ДРЛ00000719 от 04.12.2020 23:00:00,"Выполнение работ по договору №ДРЛ_1 110_19 (ВР-188-10203/19-24) от 19.12.2019 Демонтаж м/р Ново-Покурское куст 78 скважина 709, шт",Демонтаж,Ново-Покурское,709,2812412.63,468735.44
